InventoryID,Glottocode,Dialect,LanguageName,BibTexKey,Filename,Contributor,MetadataComments,PhoibleID
182,pina1252,,Pinai-Hagahai,melliger2003pinai,,Einav Levanon,,
183,pipi1250,,Pipil,campbell1985pipil,,Eitan Grossman,,
184,pure1242,,Purepecha,Foster1969,tsz_SPA1979_phon.pdf,Steven Moran,,87
185,chal1275,,Qaraqosh Neo-Aramaic (Christian NENA),khan2002qaraqosh,,KurdistanDB,,
186,quil1240,,Quileute,powell1976quileute,,Eitan Grossman,"originally 1974, check in pdfs?",
187,rama1270,,Rama,grinevald1990rama,,Eitan Grossman,,
188,rian1263,,Riantana,choi2015riantana,,Einav Levanon,,
189,saba1265,,Sa'ban,Clayre1973,snv_SPA1979_phon.pdf,Steven Moran,,34
190,saek1240,,Saek,gedney1993saek,,Chingduang Yurayong,,
191,yaku1245,,Sakha,"Krueger1962,Bohtlingk1964",sah_SPA1979_phon.pdf,Steven Moran,,190
192,sanm1295,,San Miguel El Grande Mixtec,macaulay1996chalcatongomixtec,,Elad Eisen,,
193,hula1244,sana1291,Sanandaj,khan2009sanandaj,,KurdistanDB,,
194,suii1243,sand1270,Sandong,wei2008sandong,,Elad Eisen,,
195,hula1244,saqi1238,Saqiz,israeli1998saqiz,,KurdistanDB,,
196,savo1255,,Savosavo,wegener2012savosavo,,Elad Eisen,,
197,sawe1240,,Saweru,donohue2002saweru,,Einav Levanon,,
198,nort3139,,Sedentary Hatay Arabic,werner2000hatay,,KurdistanDB,,
199,shix1238,,Shixing,chirkova2013xumi,,Dmitry Nikolaev,,
200,shor1247,,Shor,donidze1996shor,,Dmitry Nikolaev,,
201,sinh1246,,Sinhala,CoatesSilva1960,sin_SPA1979_phon.pdf,Steven Moran,,178
202,skol1241,,Skolt Saami,feist2010skolt_saami,,Dmitry Nikolaev,,
203,nucl1634,,Skou,donohue2004skou,,Einav Levanon,,
204,slav1254,,Slavomolisano,breu2000slavomolisano,,Dmitry Nikolaev,,
205,sooo1254,,Sô,migliazza1998so,,Dmitry Nikolaev,,
206,soch1239,,Sochiapam Chinantec,foris1993sochiapamchinantec,,NA,,
