"InventoryID","BorrowingLanguageGlottocode","BorrowedSound","SourceLanguageGlottocode","OnlyInLoanwords","Result","NewDistinction","PhonemeComments","Verified","Glottocode","LanguageName","BibTexKey","Filename","Contributor","MetadataComments","PhoibleID","ClosestNeighbor"
8,"aleu1260","eː","russ1263, stan1293","no","new phoneme","mid vowels","occurs in native words allophonically, recent borrowing has broadened its distribution","Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
8,"aleu1260","f","russ1263, stan1293","yes","new phoneme","labiodental","in older loanwords rendered as /m/ or /m̥/, later as /p/ (also borrowed)","Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
8,"aleu1260","ɡ","russ1263, stan1293","yes","new phoneme","voicing in plosives","alternating individually with the native velar fricative, in older loanwords rendered as /k/","Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
8,"aleu1260","o","russ1263, stan1293","no","new phoneme","mid vowels","occurs in native words allophonically, recent borrowing has broadened its distribution","Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
8,"aleu1260","oː","russ1263, stan1293","no","new phoneme","mid vowels","occurs in native words allophonically, recent borrowing has broadened its distribution","Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
8,"aleu1260","p","russ1263, stan1293","yes","new phoneme","no","in older loanwords rendered as /m/ or /m̥/","Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
8,"aleu1260","ɹ","stan1293","yes","new phoneme","rhotic",NA,"Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
8,"aleu1260","v","russ1263, stan1293","yes","new phoneme","labiodental","in older loanwords rendered as /m/ or /m̥/, later as /p/ (also borrowed)","Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
8,"aleu1260","z","russ1263","yes","new phoneme","no","Occurs natively in one dialect","Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
9,"alqo1238","d̠ʒ","kurd1259, arab1395","yes",NA,NA,NA,NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
9,"alqo1238","dˤ","arab1395","no","phonologization of allophone",NA,"phoneme in only one loanword",NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
9,"alqo1238","ðˤ","arab1395","no","phonologization of allophone",NA,NA,NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
9,"alqo1238","f","arab1395","yes",NA,NA,NA,NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
9,"alqo1238","ɣ","arab1395","mostly",NA,NA,NA,NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
9,"alqo1238","ħ","arab1395","mostly",NA,NA,NA,NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
9,"alqo1238","pˤ","kurd1259","unknown",NA,NA,NA,NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
9,"alqo1238","t̠ʃ","kurd1259, arab1395","yes",NA,NA,NA,NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
9,"alqo1238","v","kurd1259","mostly",NA,NA,NA,NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
9,"alqo1238","zˤ",NA,"mostly",NA,NA,NA,NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
9,"alqo1238","ʒ","kurd1259","no","phonologization of allophone",NA,"a native allophone of /ʃ/",NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
9,"alqo1238","ʕ̞","arab1395","mostly",NA,NA,NA,NA,"alqo1238","Alqosh","coghill2004alqosh",NA,"KurdistanDB",NA,NA,NA
10,"amap1240","h","unknown","no","other distributional change","no","in native phonology /h/ is rare and appears only before /a/",NA,"amap1240","Ama (Papua New Guinea)","aarsjo1999ama",NA,"Einav Levanon",NA,NA,NA
13,"wara1294","b","stan1293, hiri1237","yes","new phoneme","no","appears also in ideophones. voiced stops are pre-nasalised in native phonology",NA,"wara1294","Anta-Komnzo-Wára-Wérè-Kémä","dohler2016komnzo",NA,"Einav Levanon",NA,NA,NA
13,"wara1294","d","stan1293, hiri1237","yes","new phoneme","no","voiced stops are pre-nasalised in native phonology",NA,"wara1294","Anta-Komnzo-Wára-Wérè-Kémä","dohler2016komnzo",NA,"Einav Levanon",NA,NA,NA
13,"wara1294","ɡ","stan1293, hiri1237","yes","new phoneme","no","voiced stops are pre-nasalised in native phonology",NA,"wara1294","Anta-Komnzo-Wára-Wérè-Kémä","dohler2016komnzo",NA,"Einav Levanon",NA,NA,NA
13,"wara1294","l","stan1293, hiri1237","yes","new phoneme","lateral",NA,NA,"wara1294","Anta-Komnzo-Wára-Wérè-Kémä","dohler2016komnzo",NA,"Einav Levanon",NA,NA,NA
14,"arbe1239","d̠ʒ","unknown","yes","to be checked","to be checked",NA,NA,"arbe1239","Arbel","khan1999arbel",NA,"KurdistanDB",NA,NA,NA
